HS Code,Chapter,Tariff Description,CD,SD,VAT,AIT,RD,AT,TTI,Source Page
03023110,03,Fresh/Chilled Albacore Or Longfinned Tunas(Excl.Livers & Roes)Wra/Can upto 2.5kg,25,10,15,5,5,7.5,80.18,3
03023190,03,"Fresh Or Chilled Albacore Or Longfinned Tunas(Excl.Livers & Roes),nes",25,10,15,5,5,0,69.45,3
03023210,03,Fresh Or Chilled Yellowfin Tunas (Excl.Livers & Roes)Wrapped/Canned upto 2.5kg,25,10,15,5,5,7.5,80.18,3
03023290,03,"Fresh Or Chilled Yellowfin Tunas (Excl. Livers & Roes),nes",25,10,15,5,5,0,69.45,3
03023310,03,Fresh/Chilled Skipjack Or Stripe-Bellied Bonito(Ex.Livers & Roes)Wr/Ca upto 2.5kg,25,0,15,5,5,7.5,64.25,3
03023390,03,"Fresh Or Chilled Skipjack Or Stripe-Bellied Bonito(Ex.Livers & Roes),nes",25,0,15,5,5,0,54.50,3
03023410,03,BIGEYE TUNAS (THUNNUS OBESUS) EXCLUDING WRAPPED/CANNED upto 2.5kg,25,10,15,5,5,7.5,80.18,3
03023490,03,"BIGEYE TUNAS (THUNNSU OBESUS),nes.",25,10,15,5,5,0,69.45,3
03023510,03,"ATLANTIC & PACIFIC BLUEFIN TUNAS (THUNNUS THYNNUS,THUNNUS ORI.)WRAPPED/CANNED UPTO 2.",25,10,15,5,5,7.5,80.18,3
03023590,03,OTHER ATLANTIC & PACIFIC BLUEFIN TUNAS (THUNNUS THYNNUS..)EXCL WRAPPED/CANNED UPTO 2.,25,10,15,5,5,0,69.45,3
03023610,03,SOUTHEM BLUEFIN TUNAS (THUNNUS MACCOYII) WRA/CANN UPTO 2.5KG,25,10,15,5,5,7.5,80.18,3
03023690,03,"SOUTHEM BLUEFIN TUNAS (THUNNUS MACCOYII),NES",25,10,15,5,5,0,69.45,3
03023910,03,"Fresh Or Chilled Tunas, Nes, (Excl. Livers & Roes) Wrapped/Canned Upto 2.5kg",25,10,15,5,5,7.5,80.18,3
03023990,03,"Fresh Or Chilled Tunas, Nes,(Excl.Livers & Roes),nes",25,10,15,5,5,0,69.45,3
03024110,03,"Herrings (Clupea harengus, Clupea pallasi, Wrapped/canned upto 2.5 Kg",25,0,15,5,5,7.5,64.25,3
03024190,03,"Herrings (Clupea harengus, Clupea pallasi, EXCL. Wrapped/canned upto 2.5 Kg",25,0,15,5,5,0,54.50,4
03024210,03,"Anchovies (Engraulis spp), Wrapped/canned upto 2.5 Kg",25,0,15,5,5,7.5,64.25,4
03024290,03,"Anchovies (Engraulis spp), EXCL. Wrapped/canned upto 2.5 Kg",25,0,15,5,5,0,54.50,4
03024310,03,"Sardines ( Sardina pilachardus), sardinella (Sardinella spp), brisling . sprattus)Wr",25,0,15,5,5,7.5,64.25,4
03024390,03,"Sardines ( Sardina pilachardus), sardinella (Sardinella spp), brisling . sprattus) E",25,0,15,5,5,0,54.50,4
03024410,03,"Mackerel ( Scomber scombrus, Scomber australasicus, Scomber japonicus), Wrapped/canne",25,0,15,5,5,7.5,64.25,4
